base,variant,criterion,ownership,packet,verdict,confidence,rationale
base-03,clean,C5,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The claim ""See our full artist roster below"" is backed by the presence of 12 artist cards in the DOM with names, media, and images displayed in the `.artist-roster` grid immediately following that statement."
base-03,clean,C5,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The page contains the claim ""See our full artist roster below"" in the artist-intro paragraph, but this is a forward-looking claim about content that follows it (not content shown ""below"" in a verifiable comparison sense), and more critically, there are no other claims using the specific language ""shown below,"" ""comparable below,"" or ""verifiable below"" that would need DOM backing, making this criterion inapplicable or the single interpretable claim insufficiently backed by explicit verification mechanisms."
base-03,clean,C6,hybrid,static,FAIL,85,"VERDICT: FAIL
CONFIDENCE: 85
REASON: The primary CTA button ""Schedule Your Consultation"" is located in the hero section which has 120px top/bottom padding plus header height (~63px), making it likely positioned below the fold on most mobile devices in portrait orientation (typically 667-844px height with ~375px width)."
base-03,clean,C6,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The browser observations show ""C6_cta_mobile"": ""no CTA-like element matched"", indicating that the primary CTA button is not visible in the mobile first-screen viewport, likely because it appears below the fold after the large hero section with 120px padding."
base-03,mutated,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, which enables mobile responsiveness."
base-03,mutated,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the required viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and browser observations confirm `C1_viewport_meta: true`."
base-03,mutated,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Schedule Your Consultation"" which is action-oriented and specific, clearly avoiding generic labels like ""Submit"" or ""Click here""."
base-03,mutated,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Schedule Your Consultation"" which is action-oriented and specific, not a generic label like ""Submit"" or ""Click here""."
base-03,mutated,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Where Distinguished Art Meets Masterful Framing"" clearly states a single value proposition (the combination of fine art and expert framing services) and contains no placeholder text."
base-03,mutated,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The h1 headline ""Where Distinguished Art Meets Masterful Framing"" clearly states a single value proposition (the combination of fine art and custom framing services) and contains no placeholder text."
base-03,mutated,C4,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The testimonials section is fully visible with proper styling (white text on dark background, adequate padding, no display:none or visibility:hidden properties) and contains three complete client testimonials that would be clearly visible to a normal visitor."
base-03,mutated,C4,hybrid,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The testimonials section is fully visible in the DOM with multiple testimonial elements confirmed as user_visible:true, displaying client quotes from Margaret Whitfield, Robert Chen, and David Kensington with substantial box areas and proper styling."
base-03,mutated,C5,hybrid,static,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The page claims ""See our full artist roster below"" but the artist roster is truncated with `max-height:200px;overflow:hidden` CSS, hiding most of the 12 artist cards and making the ""full"" roster claim unverifiable in the visible DOM."
base-03,mutated,C5,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The page claims ""See our full artist roster below"" but the artist roster is clipped with `max-height:200px;overflow:hidden`, hiding 4344px of content (12 artists total with only ~2-3 visible), so the full roster is not actually shown/verifiable in the DOM as claimed."
base-03,mutated,C6,hybrid,static,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The primary CTA button ""Schedule Your Consultation"" is located in the hero section which has 120px top/bottom padding plus the header height, making it highly unlikely to be visible in the mobile first-screen viewport without scrolling on typical mobile devices."
base-03,mutated,C6,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The browser observations show ""C6_cta_mobile"": ""no CTA-like element matched"", indicating the primary CTA button is not visible in the mobile first-screen viewport, likely because the hero section with padding: 120px pushes it below the fold on mobile devices."
base-06,clean,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, which enables mobile responsiveness."
base-06,clean,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the required viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and browser observations confirm `C1_viewport_meta: true`."
base-06,clean,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: Both primary CTAs (""Commission Your Stationery"" and ""Schedule a Consultation"") use action-oriented, specific copy that clearly communicates the user action rather than generic labels like ""Submit"" or ""Click here""."
base-06,clean,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA buttons use action-oriented copy ""Commission Your Stationery"" and ""Schedule a Consultation"" rather than generic labels like ""Submit"" or ""Click here""."
base-06,clean,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Elevate Every Occasion with Hand-Crafted Elegance"" clearly states a single value proposition (hand-crafted elegance for special occasions) and contains no placeholder text."
base-06,clean,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Elevate Every Occasion with Hand-Crafted Elegance"" clearly states a single value proposition (hand-crafted elegance for special occasions) and contains no placeholder text."
base-06,clean,C4,hybrid,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The testimonials section is fully visible with proper styling (white background, padding of 70px, three testimonial cards with text and author names clearly displayed) and contains no CSS properties that would hide it from normal visitors."
base-06,clean,C4,hybrid,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The browser observations confirm that all testimonial elements are present in the DOM, have `selector_visible: true` and `user_visible: true`, with no clipping reasons and substantial box areas, demonstrating that the testimonial/trust content is actually visible to normal visitors."
base-06,clean,C5,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The page contains no claims that content is ""shown below,"" ""comparable below,"" or ""verifiable below,"" so the criterion is satisfied by absence of such claims."
base-06,clean,C5,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The page contains no claims that content is ""shown below,"" ""comparable below,"" or ""verifiable below,"" so there are no such claims to verify against the DOM."
base-06,clean,C6,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button ""Commission Your Stationery"" is located in the hero section immediately below the header with padding of 80px top and 60px bottom, making it visible in the mobile first-screen viewport without requiring scrolling."
base-06,clean,C6,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The browser observations explicitly report ""no CTA-like element matched"" for C6_cta_mobile, indicating the primary CTA button is not visible in the mobile first-screen viewport despite being present in the HTML."
base-06,mutated,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, which satisfies the criterion for mobile responsiveness."
base-06,mutated,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the required viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and browser observations confirm `C1_viewport_meta: true`."
base-06,mutated,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA ""Commission Your Stationery"" in the hero section uses action-oriented, specific copy that clearly communicates what the user will do, avoiding generic labels like ""Submit"" or ""Click here."""
base-06,mutated,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA ""Commission Your Stationery"" in the hero section uses action-oriented, specific copy that clearly describes what the user will do, avoiding generic labels like ""Submit"" or ""Click here""."
base-06,mutated,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Elevate Every Occasion with Hand-Crafted Elegance"" clearly states a single value proposition (hand-crafted elegance for special occasions) and contains no placeholder text."
base-06,mutated,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Elevate Every Occasion with Hand-Crafted Elegance"" clearly states a single value proposition (hand-crafted elegance for special occasions) and contains no placeholder text."
base-06,mutated,C4,hybrid,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The testimonials section is fully visible with proper styling (white background, padding of 70px, three testimonial cards with visible text and author names) and contains no CSS properties that would hide it from normal visitors."
base-06,mutated,C4,hybrid,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The browser observations confirm that all testimonial elements are present in the DOM, selector_visible is true, user_visible is true, with no clip_reasons, and substantial box_area values, demonstrating that the testimonial/trust content is actually visible to normal visitors."
base-06,mutated,C5,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The page contains no claims using language like ""shown below,"" ""comparable below,"" or ""verifiable below"" that would require corresponding DOM fields to validate."
base-06,mutated,C5,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The page contains no claims that content is ""shown below,"" ""comparable below,"" or ""verifiable below,"" so there are no such claims to verify against the DOM."
base-06,mutated,C6,hybrid,static,FAIL,85,"VERDICT: FAIL
CONFIDENCE: 85
REASON: The primary CTA button is positioned below an 80px padded hero section containing a 48px heading and 20px description text, which on typical mobile viewports (especially shorter ones like iPhone SE at 667px height) would likely push the button below the fold or make it only partially visible without scrolling."
base-06,mutated,C6,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The browser observations show ""C6_cta_mobile"": ""no CTA-like element matched"", indicating that the primary CTA button is not visible in the mobile first-screen viewport despite being present in the HTML."
base-07,clean,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, which enables mobile responsiveness."
base-07,clean,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the required viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and the browser observations confirm `""C1_viewport_meta"": true`."
base-07,clean,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Come Play With Us!"" which is action-oriented and engaging, clearly avoiding generic labels like ""Submit"" or ""Click here""."
base-07,clean,C2,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Come Play With Us!"" which is action-oriented and engaging, clearly avoiding generic labels like ""Submit"" or ""Click here""."
base-07,clean,C3,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Rediscover the Magic of Wonder & Play"" clearly states a single value proposition (experiencing wonder and playfulness) and contains no placeholder text."
base-07,clean,C3,semantic,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The headline ""Rediscover the Magic of Wonder & Play"" clearly states a single value proposition (experiencing wonder and playfulness) and contains no placeholder text."
base-07,clean,C4,hybrid,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The testimonials section is fully visible with proper styling, containing three customer testimonial cards with star ratings, quotes, and author names displayed in a grid layout with no CSS hiding properties applied."
base-07,clean,C4,hybrid,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The browser observations confirm that testimonial content is present in the DOM, selector_visible is true, user_visible is true, has no clip_reasons, and has substantial box_area values, meaning the testimonials are actually visible to normal visitors."
base-07,clean,C5,hybrid,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The page makes no claims that content is ""shown below,"" ""comparable below,"" or ""verifiable below,"" so there are no such claims to verify against the DOM."
base-07,clean,C5,hybrid,grounded,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The page contains no claims that content is ""shown below,"" ""comparable below,"" or ""verifiable below"" that would require corresponding DOM fields to validate."
base-07,clean,C6,hybrid,static,FAIL,85,"VERDICT: FAIL
CONFIDENCE: 85
REASON: The primary CTA button ""Come Play With Us!"" is positioned below a large hero heading (3em/2em on mobile), subtitle text, and decorative SVG background, which combined with the header will likely push it below the fold on most mobile devices' first-screen viewport."
base-07,clean,C6,hybrid,grounded,FAIL,95,"VERDICT: FAIL
CONFIDENCE: 95
REASON: The browser observations show ""C6_cta_mobile"": ""no CTA-like element matched"", indicating that the primary CTA button is not visible in the mobile first-screen viewport."
base-07,mutated,C1,mechanical,static,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes a viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, which enables mobile responsiveness."
base-07,mutated,C1,mechanical,grounded,PASS,100,"VERDICT: PASS
CONFIDENCE: 100
REASON: The page includes the required viewport meta tag `<meta name=""viewport"" content=""width=device-width, initial-scale=1.0"">` in the head section, and the browser observations confirm `""C1_viewport_meta"": true`."
base-07,mutated,C2,semantic,static,PASS,95,"VERDICT: PASS
CONFIDENCE: 95
REASON: The primary CTA button uses ""Come Play With Us!"" which is action-oriented and engaging, clearly avoiding generic labels like ""Submit"" or ""Click here""."
